ID,Collection_year,Genus,Open_nomenclature,Species,Dataset,SV_ratio,S,K_mean,K_var,K_skew,K_kurt,H_mean,H_var,H_skew,H_kurt,k2_mean,k2_var,k2_skew,k2_kurt,k1_mean,k1_var,k1_skew,k1_kurt,K_tip_mean,K_tip_var,K_tip_skew,K_tip_kurt,H_tip_mean,H_tip_var,H_tip_skew,H_tip_kurt,k2_tip_mean,k2_tip_var,k2_tip_skew,k2_tip_kurt,k1_tip_mean,k1_tip_var,k1_tip_skew,k1_tip_kurt,FD,br_length_mean,br_length_var,br_rate_mean,br_rate_var,br_spacing_v1_mean,br_spacing_v1_var,br_spacing_v2_mean,br_spacing_v2_var,da_mean,da_var,db_mean,db_var,dc_mean,dc_var,b_angle_mean,b_angle_var,da_avg_mean,d_avg_var
15Oki24,2015,Acropora,aff.,bifurcata,Testing,6.779755987,0.168926656,-15.30941193,57567.20299,1.046227137,9.784726297,1.594872763,102.5401958,0.170369769,3.734699962,-8.600275739,140.4982722,-0.800950058,3.983636258,11.69178416,159.6292501,0.973022179,4.007467572,-3.647615294,99894.95178,0.96903719,9.44042296,4.140954924,130.6274392,0.067609131,3.58053813,-7.242438024,188.6788428,-0.781538333,3.786081451,15.41768001,194.9517863,0.905127326,3.966620777,2.362237518,0.794167247,0.227110896,0.647230262,0.137103253,0.464470597,0.026815838,0.562874354,0.039005805,0.504048092,0.035707613,0.296487603,0.009073746,0.236288083,0.006604566,1.346539215,0.10209978,0.506360887,0.041581521
15Oki25,2015,Acropora,aff.,hyacinthus,Testing,6.61968383,0.168258851,-17.10520355,94735.85722,0.939394172,8.757042351,1.076655011,133.7050302,-0.055661136,3.591060763,-10.31536651,195.9094261,-0.759795674,3.653266602,12.39266692,185.9628633,0.705914152,3.52186489,-19.61616942,187494.4063,0.898913898,7.774468753,2.366788843,195.7048562,-0.114508161,3.229608918,-11.49685232,284.3503091,-0.575966133,3.139967181,16.14158145,255.3220944,0.495140194,3.199216668,2.374934454,0.788459654,0.185527547,0.651568036,0.114251305,0.541541793,0.034933036,0.664092302,0.031260438,0.591489553,0.029163383,0.397582903,0.010626195,0.339393089,0.00841975,1.39993255,0.113228969,0.464659073,0.031317272
15Oki26,2015,Acropora,aff.,hyacinthus,Testing,6.294840912,0.200400032,-12.86523738,68235.5135,0.893551115,8.221476511,1.239118448,116.9716834,0.114794025,3.437759717,-9.457268892,160.777687,-0.626938819,3.47234576,11.83510465,170.1309074,0.764235294,3.524113581,-11.17745079,140309.0015,0.778999097,7.117406231,3.433512759,173.5376984,-0.131208994,3.088032749,-9.814128251,246.4355865,-0.53829914,2.993476447,16.5531512,228.108961,0.474278964,3.197781323,2.378432478,0.812719685,0.262032984,0.674823307,0.161055119,0.483739243,0.028999928,0.587709397,0.03059403,0.578385912,0.041060822,0.366283289,0.008491276,0.306184929,0.004610933,1.233720721,0.088024963,0.521128897,0.029671665
15Oki27,2015,Acropora,aff.,cytherea,Testing,7.44385091,0.187473124,-9.125079023,55809.41076,0.989541435,8.950185965,1.66492936,105.0749121,0.151152432,3.581501789,-8.37354513,144.4314303,-0.740040881,3.821743368,11.62802437,153.302438,0.835278162,3.666548321,1.843664202,77554.40459,0.844280472,7.956098147,3.729086849,124.4509383,0.098916317,3.25107313,-7.20019504,176.2045722,-0.689072375,3.726221217,14.58463103,170.4882904,0.699327114,3.373600039,2.376266804,0.746944606,0.194294879,0.609166653,0.11580712,0.453889067,0.02728389,0.574331468,0.033185029,0.456034055,0.027591321,0.305799205,0.010547278,0.264709768,0.011389821,1.461272955,0.152704466,0.393140705,0.034711673
15Oki29,2015,Acropora,aff.,bifurcata,Testing,8.864865459,0.182806525,-16.66159042,92093.77587,0.961868539,8.558170182,1.564111849,140.9707165,0.014556632,3.339290838,-10.36708294,195.3104623,-0.695297841,3.564474929,13.37754223,195.1252374,0.73066841,3.523990361,-11.44244042,109875.4508,0.708610834,7.726342553,3.806511251,151.2005042,-0.168634156,3.286486679,-8.708895397,228.2864937,-0.781179169,3.605882305,16.13397795,195.1952703,0.643076103,3.434104392,2.280375854,0.704808751,0.172908717,0.571752083,0.098161027,0.479209809,0.033166523,0.643995577,0.054894578,0.423742354,0.013808887,0.302888104,0.008876036,0.245224781,0.011321853,1.40323675,0.092566287,0.371912153,0.023871011
15Oki40,2015,Acropora,aff.,hyacinthus,Testing,7.276013361,0.205366295,-6.016572523,16552.22837,1.024685335,7.583475873,1.536526079,59.38283822,0.122813219,3.179316986,-6.341608388,76.68029741,-0.42059156,3.168262915,9.333331174,83.43035089,0.607123978,3.275054277,-2.329880249,39577.46793,1.098593061,7.471791133,2.960606646,92.21400537,-0.106354052,3.103278565,-6.765880829,117.1702675,-0.414400468,3.008533697,12.58145039,125.960572,0.40036349,3.180146896,2.299169284,0.819019944,0.172873311,0.684108548,0.107879661,0.597170163,0.035887793,0.735873398,0.019390336,0.507127664,0.011620198,0.380731092,0.005969875,0.336899925,0.007785288,1.475650626,0.102969712,0.457965216,0.024863939
18Oki01,2018,Acropora,aff.,hyacinthus,Training,3.68445507,0.269827289,-3.097378805,9773.759924,0.937331424,6.743438869,1.089979662,47.54621281,0.302021737,3.083251145,-5.768429988,63.63352093,-0.243647138,3.035547687,7.916874459,61.65238621,0.605615772,3.166513225,-1.592648894,13094.19277,0.973767382,6.773310489,1.892603725,54.44732053,0.250937648,3.040603941,-5.441263075,71.53363475,-0.268884439,3.028226727,9.185574461,71.70939014,0.592291712,3.166700469,2.29866486,0.93892558,0.336507814,0.76915581,0.195268404,0.584745019,0.045290675,0.721047837,0.040090023,0.858712376,0.112719255,0.576915463,0.074905202,0.499443081,0.087182925,1.260402818,0.133602842,0.876059708,0.127425808
18Oki02,2018,Acropora,aff.,hyacinthus,Training,3.188489061,0.324385885,-3.029978057,16640.55477,0.865944725,7.0066374,0.915381825,63.25508999,0.195510821,3.094499631,-6.824418524,82.83981258,-0.369929444,3.011595842,8.616949407,85.3446475,0.640468728,3.313856166,-0.813726576,30482.58862,0.824279251,6.754565175,1.98978036,85.8281885,0.020453271,2.972547393,-6.990356268,109.3704367,-0.405443623,2.947444683,10.91862734,117.5562217,0.485330005,3.108227594,2.256049594,0.988056589,0.445697874,0.817412635,0.262539722,0.595452595,0.054424974,0.711729496,0.050884319,1.135152133,0.172670264,0.694900326,0.13720474,0.535920808,0.099824886,1.163538087,0.1923534,1.048623222,0.155654878
18Oki03,2018,Acropora,aff.,hyacinthus,Training,7.514923154,0.185969885,-4.841098398,11719.66837,1.013373437,6.999029193,1.761825942,49.61483942,0.24477698,3.097998679,-5.530197238,64.86093087,-0.259023776,3.051436138,8.990840497,66.94241093,0.563910343,3.154550063,1.770653137,25377.26624,0.855733865,6.411224053,3.534312918,73.15716994,-0.128078143,2.955281164,-5.273869962,99.01871487,-0.392485549,2.919170465,12.22598584,93.23130897,0.287162515,3.058227618,2.311762385,0.918572331,0.215892491,0.762822301,0.131622051,0.653341925,0.016187809,0.727533793,0.02002253,0.55045274,0.026667105,0.376232067,0.00428987,0.296638457,0.008002735,1.421337818,0.135312702,0.511443765,0.025191157
18Oki04,2018,Acropora,aff.,hyacinthus,Training,5.850567126,0.220754668,-4.064913557,15730.98831,0.947545666,7.346429313,1.405496262,58.48948176,0.301774053,3.168165925,-6.184343891,77.71446465,-0.288684723,3.173962336,8.963065741,78.1606608,0.63622219,3.286794582,-2.785236303,26555.8022,0.877692868,7.197094838,2.311124123,74.98899005,0.165046186,3.047645504,-6.283999555,102.1881282,-0.35114131,3.121770413,10.84040251,99.17300025,0.580024558,3.258821531,2.342807631,0.80200971,0.217720704,0.658531451,0.128512253,0.525866365,0.040053562,0.635754051,0.039940732,0.661889099,0.058638366,0.41676671,0.026219705,0.3421688,0.029853519,1.272239988,0.163302693,0.511986625,0.044616099
18Oki05,2018,Acropora,aff.,hyacinthus,Training,6.433059831,0.172662475,-6.636699008,18065.59057,0.852038375,7.895004065,1.659269738,58.52510241,0.161348318,3.373997576,-6.060525602,82.2034534,-0.528593809,3.438927389,9.329307258,80.91470472,0.686974804,3.418792799,-0.359235571,27495.89939,0.756768287,7.064102625,3.224579277,72.45930057,0.005159824,3.134401143,-5.320403194,105.6617979,-0.540012353,3.310591754,11.67719361,94.46287782,0.534265822,3.260319573,2.333642756,0.777113599,0.233310308,0.587944155,0.125283661,0.463268551,0.036019831,0.639498585,0.033220603,0.519350995,0.088869133,0.332031149,0.031941992,0.243531599,0.042635249,1.415123955,0.132711406,0.334813373,0.043891592
18Oki06,2018,Acropora,aff.,hyacinthus,Training,4.358604804,0.276629283,-4.071369385,20116.86411,1.029883646,7.683561543,1.169343718,64.86016683,0.293583364,3.281772756,-6.7297013,84.61787679,-0.327619413,3.255228222,9.006235529,90.28396009,0.662516683,3.264318973,-2.677924168,31578.88075,0.999029099,7.237589785,2.062691432,82.91834467,0.113959605,3.069471731,-6.936912891,108.3769355,-0.334950636,3.064603556,10.99078319,111.5924624,0.507863842,3.106449121,2.267916391,0.855917511,0.245498393,0.711880831,0.161104057,0.544660286,0.051184963,0.647373931,0.041715793,0.903941432,0.126633265,0.510278155,0.044056933,0.421977098,0.051397308,1.194299403,0.149677864,0.85013734,0.12888637
18Oki07,2018,Acropora,aff.,cytherea,Training,6.695645392,0.215708263,-4.105198657,12027.36194,1.009110577,7.59425737,1.904310648,50.49011296,0.373509655,3.117511261,-5.307354345,65.79075993,-0.257515134,3.279408089,9.092594764,69.5423805,0.651993378,3.153586308,3.239091731,16939.24972,0.792103515,6.385574514,3.19141161,57.81318011,0.157505702,2.8686007,-4.392653971,85.46113552,-0.361625172,3.202275965,10.7657338,69.25936875,0.492764455,3.075258627,2.301709261,0.786137556,0.191804699,0.662269588,0.122892194,0.501075397,0.026657097,0.59157071,0.024250827,0.561920489,0.079553436,0.332299325,0.035794276,0.204266629,0.050270703,1.391719873,0.128981516,0.472298195,0.075558267
18Oki08,2018,Acropora,aff.,cytherea,Training,6.985711508,0.199629519,-3.634422434,12731.30742,0.881720155,7.26711434,1.794943757,52.81882626,0.330057411,3.049965704,-5.505533541,71.24729147,-0.263111292,3.152244785,9.082061242,69.69119115,0.640765169,3.223797732,-1.191975311,16913.69475,0.523269766,6.851393697,2.916499533,58.01067773,0.176638152,2.993135849,-4.680371815,85.48123584,-0.465514253,3.308171412,10.51661944,72.53667645,0.61649857,3.284418788,2.313870972,0.762286151,0.193330447,0.624785492,0.118369053,0.505901282,0.034421031,0.640544479,0.04764234,0.528873169,0.043409693,0.332361389,0.01991679,0.239050426,0.02867747,1.375106269,0.114565922,0.46312948,0.044948161
18Oki09,2018,Acropora,aff.,cytherea,Training,4.307752249,0.221928926,-4.326054399,9366.359778,1.062026631,8.095343625,1.225310462,44.30048345,0.345492609,3.367666161,-5.483715006,56.52765969,-0.356182936,3.39404291,7.907770995,63.84490762,0.75507903,3.492260041,3.18013515,19295.97762,1.059815142,8.013640837,3.126526713,61.16264142,0.3016524,3.189015847,-4.571826101,81.45960098,-0.359716122,3.354226796,10.78369453,84.62259479,0.73348784,3.488645044,2.353114301,0.838828709,0.300515901,0.672011675,0.160385119,0.458293921,0.028105436,0.58362594,0.040697125,0.705536612,0.096961965,0.409313323,0.058290042,0.25067829,0.063480263,1.259729453,0.160005266,0.554609566,0.049668822
